----,1848,1876,1890,1896,1913,1914,1918,1919,1920,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1938,1939,1940,1941,1943,1944,1945,1962,1967,1975,1980,1983,1986,1989,1990,1991
1848,0.369337,0.398772,0.436733,0.381876,0.325133,0.312344,0.36761,0.394569,0.384932,0.249244,0.314589,0.33886,0.276385,0.363597,0.561917,0.372662,0.393337,0.351035,0.307053,0.335646,0.452614,0.513528,0.366333,0.426519,0.152366,0.422301,0.347028,0.403469,0.581683,0.43425,0.324181,0.289897,0.342334,0.284046,0.380805,0.374932,0.35718,0.375829,0.387135,0.338357
1829,0.355087,0.492224,0.194744,0.506012,0.405412,0.431784,0.349707,0.338143,0.320405,0.289126,0.259005,0.256754,0.189674,0.26458,0.249931,0.38342,0.390098,0.343913,0.287972,0.37449,0.42126,0.408014,0.390873,0.380745,0.113697,0.279814,0.362677,0.329164,0.2906,0.122282,0.49574,0.360396,0.326911,0.187996,0.230971,0.398187,0.314348,0.264115,0.35434,0.346558
1840,0.252563,0.0276461,0.337875,0.0620113,0.0997301,0.0360326,0.0688196,0.0636928,0.0461701,0.024716,0.0695402,0.0740153,0.122446,0.0758286,0.067059,0.131292,0.0911466,0.0463514,0.215315,0.0559346,0.132306,0.114275,0.0270102,0.0981784,0.0230697,0.158833,0.120884,0.069144,0.0885972,0.0253904,0.0452093,0.0383856,0.067999,0.0727882,0.113963,0.0386495,0.0708696,0.084394,0.0607414,0.0686866
1877,0.891407,0.818834,0.734768,0.866803,0.803181,0.803939,0.891333,0.865974,0.861724,0.73046,0.818171,0.878858,0.715225,0.851966,0.768069,0.87554,0.874645,0.854597,0.855713,0.848012,0.815189,0.835975,0.847869,0.840722,0.916137,0.88292,0.83363,0.865745,0.855938,0.81206,0.768421,0.8129,0.867364,0.866435,0.87116,0.760725,0.870308,0.819626,0.834483,0.846499
1875,0.2153,0.178014,0.259923,0.168655,0.162079,0.14185,0.175678,0.199965,0.211819,0.341338,0.358362,0.214821,0.337963,0.210237,0.184115,0.174175,0.202417,0.183887,0.166599,0.218156,0.171807,0.173651,0.190384,0.147946,0.0899195,0.153079,0.204795,0.188258,0.165394,0.0966615,0.148498,0.184672,0.195689,0.17107,0.34691,0.17073,0.197606,0.174825,0.18332,0.176287
1911,0.483274,0.400328,0.380195,0.529171,0.75316,0.441641,0.540507,0.492303,0.417466,0.328291,0.327836,0.546279,0.442777,0.464306,0.70031,0.547816,0.486743,0.454668,0.462885,0.530359,0.494698,0.58106,0.398715,0.513969,0.35938,0.579024,0.682711,0.543552,0.583663,0.340013,0.614012,0.658476,0.569124,0.4678,0.45315,0.536634,0.481003,0.4516,0.482313,0.427321
1883,0.502491,0.524388,0.442048,0.429966,0.456638,0.467785,0.459705,0.453775,0.552256,0.51179,0.391196,0.474831,0.37766,0.496204,0.350707,0.497709,0.484842,0.472953,0.540435,0.495358,0.431702,0.482984,0.484697,0.489274,0.334337,0.432943,0.402095,0.458425,0.347477,0.489212,0.537894,0.416221,0.481116,0.43831,0.535283,0.437234,0.449675,0.471021,0.472534,0.457929
1878,0.85748,0.876254,0.797634,0.880078,0.794391,0.953999,0.912333,0.90918,0.907179,0.825263,0.867802,0.918506,0.965578,0.8468,0.815723,0.883688,0.895694,0.888256,0.908387,0.894217,0.914071,0.821867,0.852864,0.905395,0.812583,0.896403,0.876523,0.894191,0.862141,0.890188,0.799233,0.918333,0.887784,0.904473,0.841633,0.913365,0.890129,0.853384,0.909594,0.935729
1880,0.914383,0.948888,0.93164,0.90803,0.838502,0.921099,0.9198,0.95088,0.949688,0.977006,0.965801,0.916837,0.761069,0.977347,0.835145,0.928669,0.946014,0.97464,0.925474,0.952104,0.924491,0.907487,0.980817,0.938035,0.899818,0.889939,0.86891,0.942058,0.821866,0.930131,0.916036,0.86066,0.939296,0.949917,0.934396,0.938469,0.966117,0.984866,0.960668,0.955298
